Nombre,Variante,Hs,Gr,Costo,Ganancia,Precio
Lapicero ADN,12,5,45,,,
Monte Sharp,25,3.5,75,,,
Monte Sharp,37,4,80,,,
Lapicero Twister,12,1,20,,,
Lapicero Twister,24,1.75,40,,,
Fancy Skull Lapicero o Maceta,8,6,80,,,
Fancy Skull Lapicero o Maceta,10,7.75,100,,,
Fancy Skull Lapicero o Maceta,12,11,135,,,
Organizador Pinceles,15,3.5,45,,,
Stabilo Desk Recto,19,5,80,,,
Stabilo Desk Tarima,19,4,90,,,
Stabilo Desk Curvo,19,4,90,,,
Stitch Lapicero,12,4.25,95,,,
Stitch Lapicero,15,7,160,,,
Thanos,12,4,70,,,
Thanos,15,6,115,,,
Yoda,12,6,90,,,
Yoda,17,12,160,,,
Venom,17,12,160,,,
Darth Vader,25,20,210,,,
Bender,25,4,90,,,
White Walker,25,19.5,330,,,
White Walker,15,10,150,,,
Batman,10,2.5,45,,,
Batman,15,5,115,,,
Batman,20,9.5,240,,,
Spiderman,15,5.5,75,,,
Homero Buda,12,4.1,66,,,
Lego Minifigure,15,5.5,120,,,
Superman,12,7.75,90,,,
Superman,15,9,105,,,
PacMan,8,2.5,75,,,
PacMan,10,3.75,93,,,
PacMan,12,5.5,146,,,
Diego Maradona,10,5,45,,,
Diego Maradona,15,9,156,,,
Voyager Star Trek,15,4.75,30,,,
Enterprise Star Trek,15,4,55,,,
Buda de la FORTuna,10,3.3,55,,,
Buda de la FORTuna,12,4.25,65,,,
Fancy Skull,8,13.25,80,,,
Nena Sin Miedo,17,6.5,95,,,
Stitch,12,3.5,75,,,
Stitch,15,5.75,130,,,
Dedos,10,3.25,30,,,
Dedos,15,4,70,,,
Dedos,20,7.25,145,,,
Ricky Fort,10,3.5,70,,,
Rick Sanchez Maceta,10,6.5,60,,,
Pickle Rick Maceta,10,3.5,63,,,
Morty Smith Maceta,8,3.25,40,,,
Robert Plant 1,8,2,35,,,
Robert Plant 1,10,3,55,,,
Robert Plant 1,12,4,85,,,
Robert Plant 1,15,6.3,145,,,
Robert Plant 1,17,8.25,192,,,
Robert Plant 2,8,2,37,,,
Robert Plant 2,10,3,60,,,
Robert Plant 2,12,4.5,95,,,
Robert Plant 2,15,7.25,165,,,
Robert Plant 2,17,9.25,220,,,
Robert Plant 3,10,2.25,35,,,
Robert Plant 3,12,3,50,,,
Robert Plant 3,15,4.25,82,,,
Robert Plant 3,17,5.5,110,,,
Robert Plant 3,20,7.5,160,,,
Robert Plant 4,8,2,40,,,
Robert Plant 4,10,3.1,65,,,
Robert Plant 4,12,4.5,100,,,
Robert Plant 4,15,7,165,,,
Robert Plant 4,17,9.1,225,,,
Robert Plant 5,10,2.25,35,,,
Robert Plant 5,12,3,55,,,
Robert Plant 5,15,4.5,90,,,
Robert Plant 5,17,5.75,120,,,
Robert Plant 5,20,8,175,,,
Robert Plant 6,10,1.75,60,,,
Robert Plant 6,12,2.5,40,,,
Robert Plant 6,15,3.5,60,,,
Robert Plant 6,17,4.5,80,,,
Robert Plant 6,20,6.25,120,,,
Robert Plant 7,8,2,35,,,
Robert Plant 7,10,2.75,55,,,
Robert Plant 7,12,4.25,85,,,
Robert Plant 7,15,6,140,,,
Robert Plant 7,17,7.75,190,,,
Robert Plant 8,8,2,35,,,
Robert Plant 8,10,2.75,55,,,
Robert Plant 8,12,4,85,,,
Robert Plant 8,15,6,145,,,
Robert Plant 8,17,7.75,190,,,
Robert Plant 9,10,2,35,,,
Robert Plant 9,12,2.75,55,,,
Robert Plant 9,15,4.25,85,,,
Robert Plant 9,17,6,140,,,
Robert Plant 9,20,7.75,190,,,
Robert Plant 10,10,3.75,70,,,
Robert Plant 10,12,4.5,90,,,
Robert Plant 10,15,7,150,,,
Robert Plant 10,17,9.75,220,,,
