Nombre,Variante,Hs,Gr,Costo,Ganancia,Precio
Lapicero ADN,12,5.0,45.0,349,381,792
Monte Sharp,25,3.5,75.0,293,358,706
Monte Sharp,37,4.0,80.0,328,380,768
Lapicero Twister,12,1.0,20.0,82,160,263
Lapicero Twister,24,1.75,40.0,149,236,419
Fancy Skull Lapicero o Maceta,8,6.0,80.0,448,397,916
Fancy Skull Lapicero o Maceta,10,7.75,100.0,575,410,1068
Fancy Skull Lapicero o Maceta,12,11.0,135.0,809,520,1441
Organizador Pinceles,15,3.5,45.0,259,343,654
Stabilo Desk Recto,19,5.0,80.0,388,399,854
Stabilo Desk Tarima,19,4.0,90.0,339,386,787
Stabilo Desk Curvo,19,4.0,90.0,339,386,787
Stitch Lapicero,12,4.25,95.0,360,397,821
Stitch Lapicero,15,7.0,160.0,597,421,1104
Thanos,12,4.0,70.0,317,373,749
Thanos,15,6.0,115.0,487,420,983
Yoda,12,6.0,90.0,459,404,936
Yoda,17,12.0,160.0,897,557,1576
Venom,17,12.0,160.0,897,557,1576
Darth Vader,25,20.0,210.0,1432,671,2278
Bender,25,4.0,90.0,339,386,787
White Walker,25,19.5,330.0,1536,712,2436
White Walker,15,10.0,150.0,766,504,1377
Batman,10,2.5,45.0,199,290,531
Batman,15,5.0,115.0,427,422,921
Batman,20,9.5,240.0,836,535,1486
Spiderman,15,5.5,75.0,413,397,879
Homero Buda,12,4.1,66.0,319,373,750
Lego Minifigure,15,5.5,120.0,463,427,965
Superman,12,7.75,90.0,564,403,1049
Superman,15,9.0,105.0,656,450,1199
PacMan,8,2.5,75.0,233,305,584
PacMan,10,3.75,93.0,328,380,768
PacMan,12,5.5,146.0,492,442,1013
Diego Maradona,10,5.0,45.0,349,381,792
Diego Maradona,15,9.0,156.0,713,481,1294
Voyager Star Trek,15,4.75,30.0,318,377,754
Enterprise Star Trek,15,4.0,55.0,300,362,719
Buda de la FORTuna,10,3.3,55.0,259,335,644
Buda de la FORTuna,12,4.25,65.0,327,376,763
Fancy Skull,8,13.25,80.0,883,532,1533
Nena Sin Miedo,17,6.5,95.0,495,397,967
Stitch,12,3.5,75.0,293,358,706
Stitch,15,5.75,130.0,489,432,998
Dedos,10,3.25,30.0,228,331,606
Dedos,15,4.0,70.0,317,373,749
Dedos,20,7.25,145.0,595,421,1102
Ricky Fort,10,3.5,70.0,287,355,696
Rick Sanchez Maceta,10,6.5,60.0,456,373,899
Pickle Rick Maceta,10,3.5,63.0,279,350,683
Morty Smith Maceta,8,3.25,40.0,239,333,620
Robert Plant 1,8,2.0,35.0,158,256,450
Robert Plant 1,10,3.0,55.0,241,320,609
Robert Plant 1,12,4.0,85.0,334,383,778
Robert Plant 1,15,6.3,145.0,539,432,1053
Robert Plant 1,17,8.25,192.0,708,477,1285
Robert Plant 2,8,2.0,37.0,161,256,453
Robert Plant 2,10,3.0,60.0,246,324,618
Robert Plant 2,12,4.5,95.0,375,402,843
Robert Plant 2,15,7.25,165.0,618,432,1138
Robert Plant 2,17,9.25,220.0,799,519,1429
Robert Plant 3,10,2.25,35.0,173,274,486
Robert Plant 3,12,3.0,50.0,235,316,599
Robert Plant 3,15,4.25,82.0,346,388,796
Robert Plant 3,17,5.5,110.0,452,421,946
Robert Plant 3,20,7.5,160.0,627,437,1154
Robert Plant 4,8,2.0,40.0,164,256,456
Robert Plant 4,10,3.1,65.0,258,332,640
Robert Plant 4,12,4.5,100.0,381,406,853
