"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";MPN;Sexo;"Rango de edad"
batman;Batman;"Bustos y Figuras";Medida;10;Color;Blanco;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;SI;NO;"<p>La medida proporcionada, es el&nbsp;tama&ntilde;o&nbsp;total de la impresi&oacute;n.</p>

<p><br />
&iexcl;Trabajamos a pedido! Demoramos entre 24 y 96 hs en realizar tu impresi&oacute;n. Consultanos por distintos tama&ntilde;os, personalizaciones u otros dise&ntilde;os. Tambien realizamos trabajos de pintura (ver categoria &quot;EXCLUSIVOS&quot;)</p>

<p>&nbsp;</p>

<p>Material: PLA&nbsp;</p>

<p>Impresiones realizadas en Mar del Plata.</p>
";"impresion 3d, mardel3d, 3d, mar del plata impresion 3d";;;Mardel3D;SI;;;
batman;;;Medida;10;Color;Negro;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Acqua;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Amarillo;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Azul;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Bordó;;;560.00;510.00;0.05;0.00;0.00;0.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Celeste;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Chocolate;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Cobalto;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Cobre;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Dorado;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Fucsia;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Gris;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;"Gris Claro";;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;"Gris Metalizado";;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Kriptonita;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Naranja;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Piedra;;;560.00;510.00;0.00;0.00;0.00;0.00;;imp-15;;;;;;;;;;;;
batman;;;Medida;10;Color;Rojo;;;550.00;390.00;0.05;12.00;12.00;12.00;;imp-15;;;;;;;;;;;;
